RataRata_Edukasi_Dewasa,SQBmeaned,SQBdependency,SQBovercrowding,Jumlah_HP,SQBedjefe,Tingkat_Kepadatan_Penghuni,SQBhogar_nin,Jumlah_Ruangan,Umur,Jumlah_Anak_0_19,SQBage,agesq,Jumlah_Dewasa,Sewa_Rumah_Bulanan,Total_Individu_Keluarga,Jumlah_Orang_Tinggal_DiRumah,Lama_Sekolah_Tahun,SQBescolari,SQBhogar_total,Punya_Plafon,Dinding_Bata,Kualitas_Lantai_Baik,Kualitas_Atap_Baik,Kualitas_Dinding_Baik,Lantai_Keramik,Masak_Gas,Masak_Listrik,Area_Pedesaan,Area_Perkotaan,Rumah_Milik_Sendiri_Lunas,Punya_TV,Kualitas_Atap_Sedang,Dinding_Semen_Prefab,Kualitas_Dinding_Sedang,Jumlah_Lansia_65Plus,Tingkat_Kemiskinan
10.0,100.0,0.0,1.0,1,100,1.0,0,3,43,0,1849,1849,1,190000.0,1,1,10,100,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,4
12.0,144.0,64.0,1.0,1,144,1.0,0,4,67,0,4489,4489,1,135000.0,1,1,12,144,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,4
11.0,121.0,64.0,0.25,0,0,0.5,0,8,92,0,8464,8464,1,130000.0,1,1,11,121,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,4
11.0,121.0,1.0,1.7777779,3,121,1.3333334,4,5,17,2,289,289,2,180000.0,4,4,9,81,16,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
11.0,121.0,1.0,1.7777779,3,121,1.3333334,4,5,37,2,1369,1369,2,180000.0,4,4,11,121,16,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
11.0,121.0,1.0,1.7777779,3,121,1.3333334,4,5,38,2,1444,1444,2,180000.0,4,4,11,121,16,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
11.0,121.0,1.0,1.7777779,3,121,1.3333334,4,5,8,2,64,64,2,180000.0,4,4,2,4,16,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
10.0,100.0,1.0,16.0,1,81,4.0,4,2,7,2,49,49,2,130000.0,4,4,0,0,16,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4
10.0,100.0,1.0,16.0,1,81,4.0,4,2,30,2,900,900,2,130000.0,4,4,9,81,16,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4
10.0,100.0,1.0,16.0,1,81,4.0,4,2,28,2,784,784,2,130000.0,4,4,11,121,16,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4
10.0,100.0,1.0,16.0,1,81,4.0,4,2,11,2,121,121,2,130000.0,4,4,3,9,16,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4
23.0,529.0,1.0,1.0,1,0,1.0,1,3,18,1,324,324,1,100000.0,2,2,12,144,4,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,4
23.0,529.0,1.0,1.0,1,0,1.0,1,3,34,1,1156,1156,1,100000.0,2,2,11,121,4,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,4
9.5,90.25,1.0,1.0,1,0,1.0,0,4,79,0,6241,6241,2,130000.0,2,2,4,16,4,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,4
9.5,90.25,1.0,1.0,1,0,1.0,0,4,39,0,1521,1521,2,130000.0,2,2,15,225,4,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,4
17.0,289.0,9.0,16.0,1,0,4.0,4,2,19,2,361,361,2,90000.0,4,4,11,121,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
17.0,289.0,9.0,16.0,1,0,4.0,4,2,70,2,4900,4900,2,90000.0,4,4,2,4,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
17.0,289.0,9.0,16.0,1,0,4.0,4,2,19,2,361,361,2,90000.0,4,4,11,121,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
17.0,289.0,9.0,16.0,1,0,4.0,4,2,50,2,2500,2500,2,90000.0,4,4,10,100,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
13.5,182.25,0.0,1.0,2,225,1.0,0,4,22,0,484,484,2,215000.0,2,2,12,144,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,4
